Year,Slogan,Candidate,Party,Party2,Words,Words2,Words3,Words4,Win,Power,Win_Loss,Electoral_Votes,Slogan Source,Voter_Turnout,Federal_Government,FedState,Trade,FreePro,Civil_Rights,CivRig,Taxation,War_Expansion,War,Immigration,Labor rights,Party Platform / Issues,Notes
1824,"John Quincy Adams, Who can write. Andrew Jackson, Who can fight.",John Quincy Adams,National Republican,2.5,Heroic,Derogatory,Peaceful,,Y,4,1,84,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1824-overview/,0.269,,,,,,,,,,,,,Decided by House of Representatives
1824,Hero of New Orleans,Andrew Jackson,Democrat,4,Heroic,,,,,4,4,99,http://s139.photobucket.com/user/BillJones_album/media/Jackson/AJACK1824-2R.jpg.html,0.269,,,,,,,,,,,,,
1828,Jackson Forever! The Hero of Two Wars and of Orleans,Andrew Jackson,Democrat,4,Heroic,,,,Y,4,1,178,https://s-media-cache-ak0.pinimg.com/236x/5b/bf/49/5bbf49e0a2484a99335ab2a5b49a79da.jpg,0.576,Weak,,Neutral,,,,,,,,,"“Reform the government” by removing incompetent officeholders who received their positions “against the will of the people.” Jackson also said he took “a middle and just course” on the tariff and opposed federally sponsored internal improvements, though he favored using surplus federal revenue to help the states build roads and canals.",
1828,,John Quincy Adams,National Republican,2.5,,,,,,1,4,83,http://3.bp.blogspot.com/--7XqQxaUlzI/UIcNX4rHGDI/AAAAAAAAAxM/S-X8T3qvilo/s1600/johnquincyadams.jpeg,0.576,Strong,,Protectionist,,,,,,,,,"National bank; protective tariff, federal appropriations for internal improvements, science; education high tariffs, federal funding of roads, canals, and other internal improvements, aid to domestic manufactures, and development of cultural institutions.",
1832,Stand by the Hero,Andrew Jackson,Democrat,4,Heroic,,,,Y,1,1,219,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1832-overview/,0.554,Weak,,,,,,,,,,,"Democratic-Republicans labeled the Bank an aristocratic institution–a “monster.” Suspicious of banking and of paper money, Jacksonians opposed the Bank for giving special privileges to private investors at government expense and charged that it fostered British control of the American economy.",http://www.history.com/topics/us-presidents/presidential-elections
1832,The spirit of Jacksonianism is Jacobinism... Its Alpha is Anarchy and its Omega Despotism.,Henry Clay,National Republican,2.5,,,,,,4,4,49,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1832-overview/,0.554,Strong,,,,,,,,,,,"Jackson’s veto of the rechartering of the Bank of the United States. National-Republicans attacked the veto, arguing that the Bank was needed to maintain a stable currency and economy. “King Andrew’s” veto, they asserted, was an abuse of executive power. ",http://www.history.com/topics/us-presidents/presidential-elections
1836,Van Buren & Democracy,Martin Van Buren,Democrat,4,,,,,Y,1,1,170,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1836-overview/,0.578,Weak (State Rights,,,,,,,,,,,"Strong state rights (slavery), continued Jackson",
1836,Old Tippecanoe,William Henry Harrison,Whig,2.5,Heroic,,,,,4,4,73,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1836-overview/,0.578,Strong,,,,,,,,,,," internal improvements and a national bank, the Whigs tried to tie Democrats to abolitionism and sectional tension, and attacked Jackson for “acts of aggression and usurpation of power.”",http://www.history.com/topics/us-presidents/presidential-elections
1836,Equal & Full Protection to American Industry ,Hugh Lawson White,Whig,2.5,Egalitarian,,,,,4,4,26,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1836-overview/,0.578,Strong,,,,,,,,,,," internal improvements and a national bank, the Whigs tried to tie Democrats to abolitionism and sectional tension, and attacked Jackson for “acts of aggression and usurpation of power.”",http://www.history.com/topics/us-presidents/presidential-elections
1840,"Tippecanoe and Tyler Too * Van, Van, Van. Van is a used-up man",William Henry Harrison,Whig,2.5,Heroic,Derogatory,,Rhyming,Y,4,1,234,http://www.history.com/topics/us-presidents/presidential-elections,0.802,Stronger,2,Protectionist,1,,,necessary taxation,,,,,position on the issues was essentially unknown. There was no Whig platform.,
1840,The second sober thought of the people is always right * No Bank Monopoly,Martin Van Buren,Democrat,4,,,,,,1,4,60,http://politicalmemorabilia.com/political-item/martin-van-buren-political-ribbons/,0.802,States Rights,1,Free trade,4,Pro-slavery,1,Minimal,,,America asylum of the oppressed,,"Against national bank; pro-slavery/anti-abolitionists; slavery to be decided by the states, against federal assumption of state debts; pro “economy in government”; minimal amount of taxes",
1844,54-40 or Fight * Reannexation of Texas and Reoccupation of Oregon,James K. Polk,Democrat,4,,,,,Y,4,1,170,,0.789,States Rights,1,Free trade,4,,,Minimal,"Annexation Texas, Oregon Territory",2,America asylum of the oppressed,,"Territorial expansion, annexation of Texas; acquisition of the entire Oregon Territory from Great Britain",
1844,"Who is James K. Polk? * Hurray, Hurray, the Country's Risin'. Vote for Clay and Frelinghuysen!",Henry Clay,Whig,2.5,,Derogatory,,Rhyming,,1,4,105,,0.789,Stronger,2,Protectionist,1,,,necessary taxation,Against annexation,1,,,"Economic program, against immediate annexation of Texas",
1848,For President of the People,Zachary Taylor,Whig,2.5,Populist,,,,Y,4,1,163,,0.727,Stronger,2,Protectionist,1,,,necessary taxation,Anti-war,1,,,"Chose not to be defined by a platform, running on Taylor’s popularity as a hero.",
1848,Principles not Men,Lewis Cass,Democrat,4,,,,,,1,4,127,https://www.loc.gov/pictures/resource/cph.3b37066/,0.727,State rights,1,Free trade,4,Pro-slavery,1,necessary taxation,War necessary and just,4,America asylum of the oppressed,,"The platform limited the power of the federal government over commerce, internal improvement and slavery. Opposed a national bank and praised the Mexican-American War. The party remained divided over the issue of expanding slavery in the new Western territories. Cries of “Popular sovereignty,” “squatter sovereignty,” to let the new territories decide the question of slavery within their boundaries, disappointed anti-slavery Democrats.",
1852,"We Polked you in '44, We shall Pierce you in '52",Franklin Pierce,Democrat,4,,,,,Y,4,1,254,,0.696,State rights,1,Free trade,4,Pro-slavery,1,necessary taxation,War necessary and just,4,America asylum of the oppressed,,"Limits on the federal government; state’s rights; oppose the national bank. On slavery they concluded; “That the democratic party will resist all attempts at renewing, in congress or out of it, the agitation of the slavery question, under whatever shape or color the attempt may be made.”",
1852,Who is Franklin Pierce? * Gunpowder Glory,Winfield Scott,Whig,2.5,Heroic,Derogatory,,,,1,4,42,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1852-overview/,0.696,Stronger,2,Protectionist,1,Fugitive slave law acquiesced ,1,None,Teach by example,1,,,The Whig Party and The Democratic Party had similar party platforms,
1856,"Free Soil, Free Labor, Free Speech, Free Men * Fremont and Freedom, Principles NOT Party",John Fremont,Republican,1,Egalitarian,,,,,4,4,114,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1856-overview/,0.789,Strong,3,,1.5,Right to life liberty and pursuit of happiness entire US,2,,Anti-War for Cuba,1,,,"Anti-slavery, congressional sovereignty of the territories, an end to polygamy in Mormon settlements, federal assistance for a transcontinental railroad, Repeal of Kansas-Nebraska Act and the Fugitive Slave Act; abolition of slavery in the District of Columbia",
1856,"Young America * One Country, One Constitution, One Destiny ... UNION",James Buchanan,Democrat,4,,,Constitutional,,Y,1,1,174,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1856-overview/,0.789,State rights,1,Free trade,4,Pro-slavery,1,necessary taxation,Calls for civil war,4,America asylum of the oppressed,,"limited federal government and nationalism and expansionism, Supported the Kansas-Nebraska Act, popular sovereignty, Kansas’ pro-slavery territorial legislature, opposed the Topeka Constitution, annexation of Cuba, Ostend Manifesto.",
1856,"I know nothing but my Country, my whole Country, and nothing but my Country",Millard Fillmore,Whig,2.5,,,,,,4,4,8,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1856-overview/,0.789,Stronger,2,Protectionist,1,Fugitive slave law acquiesced ,1,None,Justice and moderation,2,,,http://www.presidency.ucsb.edu/ws/index.php?pid=25857,
1860,Vote yourself a Farm * Honest Old Abe * The Rail Splitter of the West,Abraham Lincoln,Republican,1,Prosperous,,Honest,,Y,4,1,180,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1860-overview/,0.812,Strong,3,Tariff reform,2,Anti-slavery,2,necessary taxation,denounce threats of disunion,3,Current laws still stand,Workingman's wage,"The party platform stated that slavery would not be allowed to spread any further, abide by the Supreme Court’s decision on the Congress and authority over expansion of slavery; promised that tariffs protecting industry would be imposed, a Homestead Act granting free farmland in the West to settlers, and the funding of a transcontinental railroad.",
1860,"Our Rights, The Constitution and the Union",John C. Breckinridge,Democrat,4,,,Constitutional,,,1,4,72,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1860-overview/,0.812,State rights,1,Free Trade,4,Pro slavery,1,necessary taxation,Repeal of Fugitive Slave act of war,4,America asylum of the oppressed,,Supported the expansion of slavery in the territories.,
1860,"The Union as it is, and the Constitution as it is",John Bell,Constitutional Union,2.5,,,Constitutional,,,4,4,39,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1860-overview/,0.812,State rights,1,No Opinion,2.5,No Opinion,,necessary taxation,national defense,2,No Opinion,,Compromise to save the Union; Opposition to the Kansas-Nebraska Act and the Lecompton Constitution. “the Constitution as it is and the Union as it is.”,http://www.history.com/topics/us-presidents/presidential-elections
1860,No Rail Splitter Can Split this Union,Stephen A. Douglas,Northern Democrat,4,,,,,,4,4,12,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1860-overview/,0.812,State rights,1,Free Trade,4,Pro slavery,1,necessary taxation,Repeal of Fugitive Slave act of war,4,America asylum of the oppressed,,,
1864,"Don't trade horses in midstream * Peace, Amnesty, Emancipation",Abraham Lincoln,Republican,1,,Establishment,Peaceful,,Y,1,1,212,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1864-overview/,0.738,Strong,3,,2,Anti-slavery,2,Vigorous and just,Support war,4,Liberal and just policy,,War victory and unconditional surrender by the South;  ratification of a constitutional amendment to legally end slavery.,
1864,Fidelity to the union under the constitution as the only solid foundation for our strength,George B. McClellan,Democrat,4,,,Constitutional,,,4,4,21,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1864-overview/,0.738,State rights,1,,3.5,Pro-slavery,1,,Support war,4,,,Peace plank to end the war written by Copperhead Clement Vallandigham; McClellan supported the continuation of the war and restoration of the Union,
1868,In Union is Peace * Vote as You Shot * Liberty and Loyalty. Justice and Public Safety,Ulysses S. Grant,Republican,1,,,Peaceful,,Y,1,1,214,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1868-overview/,0.781,Strong,3,,1.5,equal civil and political rights to all,2,Equalized and reduced,Support military occupation,3,Liberal and just policy,,Reconstruction (issue in north and south); Supports Reconstruction legislation and military occupation; Franchise for African Americans in the South; Black Suffrage in the North at each state’s discretion; Emphasize granting political rights to the freedmen as the basis for the foundation of state Republican Parties in the conquered South,
1868,Constitution and Union: One currency for the Government and People * No Dummy for Us,Horatio Seymour,Democrat,4,,Derogatory,Constitutional,,,4,4,80,https://presidentialcampaignselectionsreference.wordpress.com/overviews/19th-century/1868-overview/,0.781,Stronger,2,Tariff reform,3,abolition of the Freedmen's Bureau,1,Equal taxation of all property,Reduce army and navy,1,,Rights of workingman,"Declaration of the Reconstruction Act as unconstitutional: “subjected ten States, in time of profound peace, to military despotism and negro supremacy.”",
